,Test ACC,Length of outliers,Time
0,0.9043,200.0,0.0
1,0.9043,100.0,745.6334125995636
2,0.9014,100.0,717.179477930069
3,0.8957,100.0,716.5464527606964
4,0.9271,100.0,729.033441066742
5,0.9298,100.0,738.1368401050568
6,0.9172,100.0,742.246572971344
7,0.9428,100.0,750.6128590106964
8,0.9429,100.0,762.3509418964386
9,0.9275,100.0,776.3208286762238
10,0.953,100.0,779.0998435020447
11,0.9524,100.0,816.3011789321899
12,0.9465,100.0,810.2476787567139
13,0.9445,100.0,809.6715528964996
14,0.9592,100.0,809.0495681762695
15,0.9513,100.0,824.5110352039337
16,0.9417,,
