,Train ACC,Valid ACC,Test ACC,Length of outliers,Time
0,tensor(1.),tensor(0.8802),0.8894,200,0.0
1,tensor(1.),tensor(0.9296),0.8894,100,303.6091103553772
2,tensor(1.),tensor(0.9387),0.9405,100,283.84481930732727
3,tensor(1.),tensor(0.9423),0.9482,100,303.217985868454
4,tensor(1.),tensor(0.9474),0.9478,100,260.5418930053711
5,tensor(1.),tensor(0.9471),0.9526,100,265.5815188884735
6,tensor(1.),tensor(0.9442),0.9514,100,269.3092453479767
7,tensor(1.),tensor(0.9573),0.9502,100,271.647634267807
8,tensor(1.),tensor(0.9492),0.9597,100,272.91581320762634
9,tensor(1.),tensor(0.9554),0.9548,100,276.49990582466125
10,tensor(1.),tensor(0.9564),0.9601,100,278.2629988193512
11,tensor(1.),tensor(0.9550),0.9591,100,283.4778587818146
12,tensor(1.),tensor(0.9563),0.9599,100,287.4620327949524
13,tensor(1.),tensor(0.9608),0.9607,100,289.7362844944
14,tensor(1.),tensor(0.9557),0.963,100,295.22237396240234
15,tensor(1.),tensor(0.9574),0.96,100,297.79244923591614
16,tensor(1.),tensor(0.9645),0.964,100,302.0098645687103
17,tensor(1.),tensor(0.9606),0.9674,100,322.1463077068329
18,tensor(1.),tensor(0.9645),0.967,100,337.14455366134644
19,tensor(1.),tensor(0.9634),0.9701,100,342.29843974113464
20,tensor(1.),tensor(0.9666),0.9684,100,349.97821068763733
21,tensor(1.),tensor(0.9671),0.967,100,345.1492004394531
22,tensor(1.),tensor(0.9681),0.9709,100,344.48436522483826
23,tensor(1.),tensor(0.9681),0.971,100,346.5302565097809
24,tensor(1.),tensor(0.9643),0.9709,100,351.66548776626587
25,tensor(1.),tensor(0.9658),0.9699,100,366.70259165763855
26,tensor(1.),tensor(0.9650),0.9707,100,371.4108920097351
27,tensor(1.),tensor(0.9656),0.9715,100,369.13352131843567
28,tensor(1.),tensor(0.9642),0.9691,100,433.70142817497253
29,tensor(1.),tensor(0.9672),0.9705,100,357.9612514972687
30,tensor(1.),tensor(0.9666),0.9716,100,369.858172416687
31,tensor(1.),tensor(0.9692),0.9715,100,392.1197144985199
32,tensor(1.),tensor(0.9696),0.9727,100,444.9800012111664
33,tensor(1.),tensor(0.9681),0.9733,100,522.793247461319
34,tensor(1.),tensor(0.9643),0.9727,100,543.1577463150024
35,tensor(1.),tensor(0.9695),0.9709,100,535.7495787143707
36,tensor(1.),tensor(0.9719),0.9758,100,546.791921377182
37,tensor(1.),tensor(0.9715),0.9771,100,573.2298858165741
38,tensor(1.),tensor(0.9729),0.9759,100,563.5210988521576
39,tensor(1.),tensor(0.9685),0.9763,100,560.6279706954956
40,tensor(1.),tensor(0.9705),0.9726,100,689.8444855213165
41,tensor(1.),tensor(0.9739),0.9731,100,732.7866961956024
42,tensor(1.),tensor(0.9725),0.9757,100,720.0680475234985
43,tensor(1.),tensor(0.9715),0.9742,100,746.3099973201752
44,tensor(1.),tensor(0.9743),0.9726,100,758.0790195465088
45,tensor(1.),tensor(0.9683),0.9751,100,749.2305114269257
46,tensor(1.),tensor(0.9729),0.9711,100,725.864782333374
47,tensor(1.),tensor(0.9724),0.9754,100,751.8803961277008
48,tensor(1.),tensor(0.9705),0.9739,100,805.9636702537537
49,tensor(1.),tensor(0.9703),0.9728,100,798.2104108333588
50,tensor(1.),tensor(0.9716),0.9735,100,775.3751635551453
51,tensor(1.),tensor(0.9722),0.9757,100,769.7161946296692
52,tensor(1.),tensor(0.9739),0.9753,100,784.7905220985413
53,tensor(1.),tensor(0.9745),0.9743,100,783.6647436618805
54,tensor(1.),tensor(0.9728),0.9756,100,685.9498159885406
55,tensor(1.),tensor(0.9726),0.9764,100,819.5817561149597
56,tensor(1.),tensor(0.9735),0.9785,100,876.7761895656586
57,tensor(1.),tensor(0.9767),0.9764,100,900.5631895065308
58,tensor(1.),tensor(0.9776),0.9776,100,960.0263600349426
59,tensor(1.),tensor(0.9743),0.9785,100,927.7444312572479
60,tensor(1.),tensor(0.9785),0.9762,100,887.2223699092865
61,tensor(1.),tensor(0.9736),0.9795,100,888.5836510658264
62,tensor(1.),tensor(0.9762),0.9772,100,960.6840424537659
63,tensor(1.),tensor(0.9781),0.9792,100,939.7009665966034
64,tensor(1.),tensor(0.9711),0.9798,100,928.4173748493195
65,tensor(1.),tensor(0.9733),0.9747,100,943.931746006012
66,tensor(1.),tensor(0.9746),0.9784,100,1010.2043781280518
67,tensor(1.),tensor(0.9745),0.9765,100,1018.5036396980286
68,tensor(1.),tensor(0.9761),0.9778,100,969.7581589221954
69,tensor(1.),tensor(0.9714),0.9797,100,989.7066781520844
70,tensor(1.),tensor(0.9744),0.975,100,1036.6253244876862
71,tensor(1.),tensor(0.9753),0.9782,100,967.9350247383118
72,tensor(1.),tensor(0.9762),0.9774,100,1088.602159023285
73,tensor(1.),tensor(0.9745),0.9788,100,1171.9606235027313
74,,,0.9804,,
